Nom,Marque,Caution,Etat,Quantite,categorie,Disponible,Prix
Micro Shure SM58,Shure, 110.00 ,ok,4,Micro,-,-
Micro Shure SM57,Shure, 109.00 ,ok,2,Micro,-,-
Micro Shure Beta 58A,Shure, 180.00 ,ok,1,Micro,-,-
Micro Shure 10A,Shure, -   ,ok,2,Micro,-,-
Micro Shure PG81,Shure, 140.00 ,ok,1,Micro,-,-
Micro Superlux PRA-228A,Superlux, 60.00 ,ok,2,Micro,-,-
Micro Superlux PRA-218A,Superlux, 60.00 ,ok,1,Micro,-,-
Micro Sennheiser md421,Sennheiser, 400.00 ,ok,1,Micro,-,-
Micro Audio Technica MB6K,Audio technica, 90.00 ,ok,1,Micro,-,-
Micro Sennheiser e835,Sennheiser, 99.00 ,ok,1,Micro,-,-
Micro special grosse caisse,N/A, -   ,ok,1,Micro,-,-
Micro Berhringer Ultravoice,Berhinger, -   ,ok,2,Micro,-,-
Micro AKG D5,AKG, 95.00 ,ok,1,Micro,-,-
Sennheiser UHF Vocal Set fp 35 C EU,Sennheiser, 269.00 ,?,1,Micro,-,-
Ampli QSC Audio RMX 850,QSC, 450.00 ,ok,4,Ampli,-,-
Ampli QSC Audio RMX 1450,QSC, 500.00 ,ok,3,Ampli,-,-
Ampli QSC Audio RMX 2450,QSC, 800.00 ,ok,1,Ampli,-,-
Ampli STA Club 1503,STA, 350.00 ,ok,1,Ampli,-,-
Table de mixage Allen & Heath GL2400,Allen&Heath,,ok,1,Table de mixage,-,-
Table Pioneer XDJ-RX + flight case,Pioneer,,ok,1,Table de mixage,-,-
Table Pioneer DJM 700,Pioneer, 620.00 ,ok,1,Table de mixage,-,-
Table de mixage Behringer Xenyx X1204 USB,Behringer, 130.00 ,ok,1,Table de mixage,-,-
Table de mixage Behringer DJX700,Berhringer, 169.00 ,ok,1,Table de mixage,-,-
Table de mixage Mackie CFX 16,Mackie, 716.00 ,ok,1,Table de mixage,-,-
Platine Denon SC 2900,Denon, 560.00 ,ok,2,Platine,-,-
Filtre Behringer CX 2300,Behringer, 70.00 ,ok,1,Effects,-,-
Equalizer EQ Crest CPQ 2131P,EQ Crest, 300.00 ,ok,2,Egaliseur,-,-
Equalizer EQ Crest CPQ 2215P,EQ Crest, 300.00 ,ok,1,Egaliseur,-,-
Compresseur + Gate dbx 266XL,DBX, 180.00 ,ok,3,Effects,-,-
Reverb + Delay TC Electronics M350,TC electronics, 200.00 ,ok,1,Effects,-,-
Cordial Multi 24 + Sac de transport,, 480.00 ,ok,1,Effects,-,-
Line Splitter Palmer PLS 02,Palmer, 222.00 ,ok,1,Effects,-,-
DI stereo Samson S-Direct Plus,Samson, 40.00 ,ok,3,DI,-,-
DI Box AR116 BSS,, 100.00 ,ok,1,DI,-,-
DI Alctron 120,, 39.00 ,ok,2,DI,-,-
DI Millenium 66,, 35.00 ,ok,1,DI,-,-
Ultra DI Pro Berhringer DI 4000,behringer, 90.00 ,ok,1,DI,-,-
Millenium sp8 splitter,Millenium, 98.00 ,ok,1,Effets,-,-
Enceintes Yamaha SM121V,Yahama, 250.00 ,ok,2,Enceintes,-,-
Enceintes EV Sx 300,EV, 650.00 ,ok,2,Enceintes,-,-
Enceintes D.A.S DS15,DAS, 725.00 ,ok,2,Enceintes,-,-
Enceintes ALS QG-15,ALS, 500.00 ,"1 ok, 1 HS",2,Enceintes,-,-
Enceintes Sub ALS (500W),Sub, 400.00 ,ok,2,Enceintes,-,-
Caissons Atelier 33 /Haut-parleurs Eminence Sigma Pro 18A-2,Eminence, 500.00 ,ok,4,Enceintes,-,-
Enceintes EV ELX 115,EV, 340.00 ,ok,2,Enceintes,-,-
Enceinte active Yamaha DXR8,Yamaha, 595.00 ,ok,1,Enceintes,-,-
Enceintes EV ZLX 12P,, 378.00 ,ok,2,Enceintes,-,-
Enceinte active Solton MF 300A,Solton, 285.00 ,ok,1,Enceintes,-,-
Enceinte JBL,JBL, 519.00 ,ok,2,Enceintes,-,-
Scan ROBE 575 XT,ROBE,,4 ok / 1 HS,5,Lumieres,-,-
Scan Nicols Pat HID,Nicols, 350.00 ,ok,3,Lumieres,-,-
Showtec Sunstrip Active DMX,Showtec, 290.00 ,ok,2,Lumieres,-,-
Botex MPX-405 Dimmer,Botex, 140.00 ,ok,5,Lumieres,-,-
Strobo Martin Atomic 3000,Martin atomic, 700.00 ,ok,1,Lumieres,-,-
Lumière noire Nicols UV panel 363,Nicols, 209.00 ,ok,1,Lumieres,-,-
G-Tech HighLase 250G,Highlase, 790.00 ,ok,1,Lumieres,-,-
Antari Z1200 II Fog Machine,Antari, 300.00 ,ok,1,Lumieres,-,-
PAR (grand),, 50.00 ,"10 ok, 5 sans lampe, 1 cable alim casse",15,Lumieres,-,-
PAR (petit),, 18.90 ,"2 ok, 4 sans lampe",6,Lumieres,-,-
DTS Scena 300/500 MK2 PC Anti Halo,Scena, 117.00 ,ok,2,Lumieres,-,-
DTS Scena 650/1000 MK2 PC Anti Halo,Scena, 135.00 ,1 ok 3 lampe HS,4,Lumieres,-,-
Stairville B5R Beam Moving Head 5R,Stairville, 998.00 ,ok,2,Lumieres,-,-
Boîtier Sunlite suite 2 Basic Class,Sunlite, 429.00 ,ok,2,Lumieres,-,-
Contrôleur DMX Starway CHAMAN,Starway, 35.00 ,?,1,Lumieres,-,-
Contrôleur DMX Starway CHEYEN,Starway, 40.00 ,?,1,Lumieres,-,-
Channel dispatching Starway TIWA,Starway, 49.00 ,?,1,Lumieres,-,-
Channels dimming console Starway CHEYEN,Starway, 190.00 ,?,1,Lumieres,-,-
Pied de levage (grand) Alu Tech ALT 450,Alu tech,,ok,2,Lumieres,-,-
Pied de levage (petit) Mobil Tech 4aF Mini,Mobil tech, 200.00 ,ok,2,Lumieres,-,-
Pad AKAI APC 40,AKAI, 299.00 ,ok,1,Lumieres,-,-
Rail portatif (2m),, 200.00 ,ok,3,Lumieres,-,-
Boule à facette,, -   ,ok,1,Lumieres,-,-
Antichute de charge 250 kg,, -   ,,2,Lumieres,-,-
,,,,,,-,-
> 9m,,,,19,XLR,-,-
< 9m,,,,39,XLR,-,-
Petits,,,,7,XLR,-,-
DMX (sans compter rail),,,,26,DMX,-,-
,,,,,,-,-
XLR mâle,,,,?,XLR-Jack,-,-
XLR femelle,,,,8,XLR-Jack,-,-
Jack,,,,14,XLR-Jack,-,-
Speakon,,,,14,Speakon,-,-
,,,,,,-,-
Grandes,,,,2,Rallonges,-,-
Moyennes - petites,,,,19,Rallonges,-,-
Enrouleurs,,,,6,Rallonages,-,-
Alimentations,,,,44,Alims,-,-
Rallonges d'alimentations,,,,5,Rallonges d'alims,-,-
,,,,,,-,-
XLR -rca simple,,,,1,Autres,-,-
RCA doubles,,,,3,Autres,-,-
RCA simple,,,,2,Autres,-,-
RCA double- petit jack,,,,4,Autres,-,-
RCA double - double jack,,,,1,Autres,-,-
